Identifier,StructureData,,,Polymer EntityData,,,,,AssemblyData,,Non-polymer EntityData,,OligosaccharideData,
Entry ID,Experimental Method,Ligand,PDB ID,Entity Polymer Type,Source Organism,Taxonomy ID,EC Number,Entity ID,Total Number of Polymer Instances (Chains) per Assembly,Assembly ID,Ligand Name,Asym ID,Entity ID,
"2KUP","SOLUTION NMR",,"2KUP","Protein","Homo sapiens",9606,,"1",2,"1"
,,,,"Protein",,,"2.7.10.1","2"
,,,,,"Homo sapiens",9606
"2KUQ","SOLUTION NMR",,"2KUQ","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1"
,,,,,"synthetic construct",32630
,,,,,"Homo sapiens",9606
"2YS5","SOLUTION NMR",,"2YS5","Protein","Homo sapiens",9606,,"1",2,"1"
,,,,"Protein",,,"2.7.10.1","2"
,,,,,"Homo sapiens",9606
"2YT2","SOLUTION NMR",,"2YT2","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1"
"7MZW","SOLUTION NMR",,"7MZW","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1"
"7N00","ELECTRON MICROSCOPY",,"7N00","Protein","Homo sapiens",9606,"2.7.10.1","1",4,"1"
,,,,"Protein","Homo sapiens",9606,,"2"
"9G5I","ELECTRON MICROSCOPY",,"9G5I","Protein","Homo sapiens",9606,,"2",3,"1"
,,,,"Protein","Homo sapiens",9606,"2.7.10.1","1"
"2XB7","X-RAY DIFFRACTION",,"2XB7","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1","5-CHLORO-N-[2-METHOXY-4-[4-(4-METHYLPIPERAZIN-1-YL)PIPERIDIN-1-YL]PHENYL]-N'-(2-PROPAN-2-YLSULFONYLPHENYL)PYRIMIDINE-2,4-DIAMINE","B"
"2XBA","X-RAY DIFFRACTION",,"2XBA","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1","5-[(2R)-2-hydroxy-2-phenylacetyl]-3-({[4-(4-methylpiperazin-1-yl)phenyl]carbonyl}amino)-1,6-dihydropyrrolo[3,4-c]pyrazol-5-ium ","B"
"2XP2","X-RAY DIFFRACTION","VGH","2XP2","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1","3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine","B"
"2YFX","X-RAY DIFFRACTION","VGH","2YFX","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1","3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine","B"
"2YHV","X-RAY DIFFRACTION",,"2YHV","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1"
"2YJR","X-RAY DIFFRACTION",,"2YJR","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1"
"2YJS","X-RAY DIFFRACTION",,"2YJS","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1"
"3AOX","X-RAY DIFFRACTION","EMH","3AOX","Protein","Homo sapiens",9606,"2.7.10.1","1",1,"1","9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile","B"
,,,,,,,,,,,"1,2-ETHANEDIOL","C"
,,,,,,,,,,,,"D"
